booth_no,forms_received,location,area_covered,booth_level_officer,pdf_file_name
1,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 6B )Block A West Wing, VILLAGE MALOYA","VILLAGE MALOYA # 1 to 160, GURUDWARA GURNANAK DARBAR,SHAIN PUBLIC SCHOOL","KULWINDER KUMAR  CP DIV NO. 4 ,SECTOR-9",chandigarh_pdfs/w0010001.pdf
2,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 10B )block A West Wing, VILLAGE MALOYA","VILLAGE MALOYA # 161 to 310, TIRTH DRONCHARYA MANDIR ,SHRI KRISHNA PARNAMI NEEJ DARBAR",MOHINDER SINGH  G.C.Y. SECTOR 23,chandigarh_pdfs/w0010002.pdf
3,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 7A )block A West Wing, VILLAGE MALOYA","VILLAGE MALOYA # 311 to 480, DUDADHARI ASHRAM MALOYA, GURU GOBIND SINGH DHAM MALOYA",SANJEEV HANS  MOH 17,chandigarh_pdfs/w0010003.pdf
4,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL MALOYA , (Room No. 5B )block A West Wing, VILLAGE MALOYA","VILLAGE MALOYA # 481 to 609, DIARY COMPLEX MALOYA # 1 to 592",SUBHASH  MOH 17,chandigarh_pdfs/w0010004.pdf
5,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No.6 A ), VILLAGE MALOYA",MOLOYA COLONY # 3001 to 3350,NAR SINGH YADAV  THE CHIEF ARCHITECT SECTOR 9,chandigarh_pdfs/w0010005.pdf
6,Form 6  Form 7  Form 8  Form 8A,"AAGANWADI BUILDING NO. 1 , (Room No.1), MALOYA COLONY","MALOYA COLONY # 3351 to 3650, ANGANWADI NO.1 MALOYA",HARPREET SINGH  DEPT OF SPORTS SECTOR 14,chandigarh_pdfs/w0010006.pdf
7,Form 6  Form 7  Form 8  Form 8A,"ANGANWADI BUILDING NO. 2 , MALOYA COLONY , (Room No. 1 ) , MALOYA COLONY","MALOYA COLONY # 3651 to 4075, ANGANWADI NO. 2 MALOYA",AJAY SONI  CHB SECTOR 9,chandigarh_pdfs/w0010007.pdf
8,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 3 ) , MALOYA COLONY",MALOYA COLONY # 4076 to 4380,SAWINDER KUMAR  GMSSS MALOYA,chandigarh_pdfs/w0010008.pdf
9,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 2 ) , MALOYA COLONY",MALOYA COLONY # 4381 to 4700,JASWINDER SINGH  GMHS SEECTOR 38-D,chandigarh_pdfs/w0010009.pdf
10,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 4 ) , MALOYA COLONY",MALOYA COLONY # 4701 to 4950,BALAK RAM  PEC SECTOR 12,chandigarh_pdfs/w0010010.pdf
11,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 5 ) , MALOYA COLONY","MALOYA COLONY # 4951 to 5383, BABA BALAK NATH MANDIR MALOYA",HARDEEP SINGH  PGGC SECTOR 11,chandigarh_pdfs/w0010011.pdf
12,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 6 ) , MALOYA COLONY",MALOYA COLONY # 5384 to 5730,PARVEEN KUMAR MEHTA  GMHS SECTOR 43,chandigarh_pdfs/w0010012.pdf
13,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, MALOYA COLONY , (Room No.7 ) , MALOYA COLONY",MALOYA COLONY # 5731 to 6070,KULDEEP SINGH  PRINTING OF STAIONERY SECTOR 18,chandigarh_pdfs/w0010013.pdf
14,Form 6  Form 7  Form 8  Form 8A,"ANGANWADI BUILDING NO.3 , (Room No. 1 ), MALOYA COLONY","MALOYA COLONY # 6071 to 6380, GUR SAGAR COLONY MALOYA, ANGANWADI NO.3 MALOYA",ANIL KUMAR  PEC SECTOR 12,chandigarh_pdfs/w0010014.pdf
15,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 6 ), SECTOR 54","VILALGE PALSORA # 1 to 130, GURUDWARA SAHIB PALSORA, VISHKARMA MANDIR PALSORA, SANT DHAM PALSORA","SATPAL  RESEARCH OFFICER, B&R RESEARCH LAB. SECTOR 9",chandigarh_pdfs/w0010015.pdf
16,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 54 , (Room No. 5 ), SECTOR 54","VILAGEE PALSORA # 131 to 220, BUDHA ASHRAM PALSORA, HEALTH CARE BUILDING PALSORA","DALWINDER SINGH  CHB DIV NO.-2, SECTOR-9",chandigarh_pdfs/w0010016.pdf
17,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 2 ), SECTOR 54","VILLAGE PALSORA # 221 to 300, ADARSH COLONY BLOCK A PALSORA, ADARSH COLONY BLOCK B PALSORA, ADARSH COLONY BLOCK C PALSORA",MOHAMMAD ALLA  PG GCG SECTOR 42,chandigarh_pdfs/w0010017.pdf
18,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 16 ), VILLAGE BADHERI","VILLAGE BADHERI # 1 to 114, GOVT MODEL HIGH SCHOOL BADHERI",SUNIL KUMAR  PAG PB SECTOR 17,chandigarh_pdfs/w0010018.pdf
19,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 3B), VILLAGE BADHERI","VILAGE BADHERI # 115 to 185, GURUDWARA SAHIB VILLAGE BADHERI",PREM NATH  AG .,chandigarh_pdfs/w0010019.pdf
20,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 12), VILLAGE BADHERI","VILLAGE BADHERI # 186 TO END, GUGA MAADI MANDIR",CHANDER MOHAN  AG PANJAB .,chandigarh_pdfs/w0010020.pdf
21,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No.1), VILLAGE KAJHERI","VILLAGE KAJHERI # 1 to 90, SOHI COMPLEX KAJHERI",MANJIT SINGH  DEPTT.OF CHEMISTRY SECTOR 14,chandigarh_pdfs/w0010021.pdf
22,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No.2), VILLAGE KAJHERI","VILLAGE KAJHEI # 91 to 230, BANK COLONY # 101 to 177 KAJHERI",VARINDER PAL  PEC SECTOR 12,chandigarh_pdfs/w0010022.pdf
23,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 3 ), VILLAGE KAJHERI",VILLAGE KAJHERI# 231 to 360,AJAY KUMAR  GOVT.PRESS SECTOR 18,chandigarh_pdfs/w0010023.pdf
