district,leg_assembly,booth_no,polling_station_name,eng_file_name,mal_file_name
1.KASARAGOD,1.MANJESHWAR,001,Govt. Vocational Higher Secondary School  Kunjathur (Eastern Building Northern  Side),kerala_pdfs/eng_01_001_001.pdf,kerala_pdfs/mal_01_001_001.pdf
1.KASARAGOD,1.MANJESHWAR,002,Govt. Vocational Higher Secondary School  Kunjathur (Eastern  Building Southern  Side),kerala_pdfs/eng_01_001_002.pdf,kerala_pdfs/mal_01_001_002.pdf
1.KASARAGOD,1.MANJESHWAR,003,Govt. Vocational Higher Secondary School  Kunjathur Southern Building     ,kerala_pdfs/eng_01_001_003.pdf,kerala_pdfs/mal_01_001_003.pdf
1.KASARAGOD,1.MANJESHWAR,004,Govt Lower Primary School Kanwatheerthapadavu Kunjathr Old Building,kerala_pdfs/eng_01_001_004.pdf,kerala_pdfs/mal_01_001_004.pdf
1.KASARAGOD,1.MANJESHWAR,005,"Govt. Lower Primary School Kanwatheerthapadvu, Kunjathur (New Building Middle Portion South Side)",kerala_pdfs/eng_01_001_005.pdf,kerala_pdfs/mal_01_001_005.pdf
1.KASARAGOD,1.MANJESHWAR,006,"Govt. Lower Primary School, Kunjathur (Middle Building)",kerala_pdfs/eng_01_001_006.pdf,kerala_pdfs/mal_01_001_006.pdf
1.KASARAGOD,1.MANJESHWAR,007,"Govt. Lower Primary School, Kunjathur (Southern Building)",kerala_pdfs/eng_01_001_007.pdf,kerala_pdfs/mal_01_001_007.pdf
1.KASARAGOD,1.MANJESHWAR,008,"Govt. Lower Primary School, Kunjathur (Eastern Building)",kerala_pdfs/eng_01_001_008.pdf,kerala_pdfs/mal_01_001_008.pdf
1.KASARAGOD,1.MANJESHWAR,009,Udyavara Bhagavathi A L P School Kanwatheertha,kerala_pdfs/eng_01_001_009.pdf,kerala_pdfs/mal_01_001_009.pdf
1.KASARAGOD,1.MANJESHWAR,010,Govt. Muslim Lower Primary School Udyavarathotta,kerala_pdfs/eng_01_001_010.pdf,kerala_pdfs/mal_01_001_010.pdf
1.KASARAGOD,1.MANJESHWAR,011,Govt. Muslim Lower Primary School Udyavarathotta (Eastern Portion),kerala_pdfs/eng_01_001_011.pdf,kerala_pdfs/mal_01_001_011.pdf
1.KASARAGOD,1.MANJESHWAR,012,Govt. Upper Primary School Udyavaragudde (Eastern  Side),kerala_pdfs/eng_01_001_012.pdf,kerala_pdfs/mal_01_001_012.pdf
1.KASARAGOD,1.MANJESHWAR,013,Govt. Upper Primary School Udyavaragudde (Western  Side),kerala_pdfs/eng_01_001_013.pdf,kerala_pdfs/mal_01_001_013.pdf
1.KASARAGOD,1.MANJESHWAR,014,"Govt.  L P S Udyavara, Near Railwaygate Manjeshwar (Eastern  Side)",kerala_pdfs/eng_01_001_014.pdf,kerala_pdfs/mal_01_001_014.pdf
1.KASARAGOD,1.MANJESHWAR,015,"Govt.  L P S Udyavara, Near Railwaygate Manjeshwar (Western  Side Building)",kerala_pdfs/eng_01_001_015.pdf,kerala_pdfs/mal_01_001_015.pdf
1.KASARAGOD,1.MANJESHWAR,016,Govindapai Memmorial Govt.College Manjeswar   (Western  Building Southern  Side),kerala_pdfs/eng_01_001_016.pdf,kerala_pdfs/mal_01_001_016.pdf
1.KASARAGOD,1.MANJESHWAR,017,Govindapai Memmorial Govt.College Manjeswar   (Western  Building Eastern  Side),kerala_pdfs/eng_01_001_017.pdf,kerala_pdfs/mal_01_001_017.pdf
1.KASARAGOD,1.MANJESHWAR,018,Govt.  Lower Primary School Badaje  (Eastern  Side),kerala_pdfs/eng_01_001_018.pdf,kerala_pdfs/mal_01_001_018.pdf
1.KASARAGOD,1.MANJESHWAR,019,Govt.  Lower Primary School Badaje  (Western  Side),kerala_pdfs/eng_01_001_019.pdf,kerala_pdfs/mal_01_001_019.pdf
1.KASARAGOD,1.MANJESHWAR,020,Govt.  Lower Primary School Badaje  (Middle Portion),kerala_pdfs/eng_01_001_020.pdf,kerala_pdfs/mal_01_001_020.pdf
1.KASARAGOD,1.MANJESHWAR,021,Govt. Muslim Lower Primary School Hosabettu (Eastern  Building),kerala_pdfs/eng_01_001_021.pdf,kerala_pdfs/mal_01_001_021.pdf
1.KASARAGOD,1.MANJESHWAR,022,Govt. Muslim Lower Primary School Hosabettu (Southern  Side Building),kerala_pdfs/eng_01_001_022.pdf,kerala_pdfs/mal_01_001_022.pdf
1.KASARAGOD,1.MANJESHWAR,023,S A T H S Manjeshwar (Northern  Side Building),kerala_pdfs/eng_01_001_023.pdf,kerala_pdfs/mal_01_001_023.pdf
1.KASARAGOD,1.MANJESHWAR,024,S A T H S Manjeshwar  (Eastern  Side ),kerala_pdfs/eng_01_001_024.pdf,kerala_pdfs/mal_01_001_024.pdf
1.KASARAGOD,1.MANJESHWAR,025,S A T L P School Manjeshwar (Western Side ),kerala_pdfs/eng_01_001_025.pdf,kerala_pdfs/mal_01_001_025.pdf
1.KASARAGOD,1.MANJESHWAR,026,Govt. High School Bangara Manjeshwar (Southern ern Building of Eastern ern Portion),kerala_pdfs/eng_01_001_026.pdf,kerala_pdfs/mal_01_001_026.pdf
1.KASARAGOD,1.MANJESHWAR,027,"Govt. High School Bangara Manjeshwar (New Building, Southern Block)",kerala_pdfs/eng_01_001_027.pdf,kerala_pdfs/mal_01_001_027.pdf
1.KASARAGOD,1.MANJESHWAR,028,Govt. Lower Primary School Vamanjur   (Eastern  Side Building),kerala_pdfs/eng_01_001_028.pdf,kerala_pdfs/mal_01_001_028.pdf
1.KASARAGOD,1.MANJESHWAR,029,"Govt. Lower Primery School, Vamanjoor (East West new Building).",kerala_pdfs/eng_01_001_029.pdf,kerala_pdfs/mal_01_001_029.pdf
1.KASARAGOD,1.MANJESHWAR,030,M.G.L.C. Kedumbaday,kerala_pdfs/eng_01_001_030.pdf,kerala_pdfs/mal_01_001_030.pdf
1.KASARAGOD,1.MANJESHWAR,031,"Fathima English Medium school, Pavoor ( South Portion)",kerala_pdfs/eng_01_001_031.pdf,kerala_pdfs/mal_01_001_031.pdf
1.KASARAGOD,1.MANJESHWAR,032,Fathima English Medium school Pavoor (North Portion),kerala_pdfs/eng_01_001_032.pdf,kerala_pdfs/mal_01_001_032.pdf
1.KASARAGOD,1.MANJESHWAR,033,M.G.L.C.  Poyye,kerala_pdfs/eng_01_001_033.pdf,kerala_pdfs/mal_01_001_033.pdf
1.KASARAGOD,1.MANJESHWAR,034,Sree Subrahmanya A L P School Mudoor Thokke Vorkady,kerala_pdfs/eng_01_001_034.pdf,kerala_pdfs/mal_01_001_034.pdf
1.KASARAGOD,1.MANJESHWAR,035,Sree Vidyabodini A L P School Bajalkariya,kerala_pdfs/eng_01_001_035.pdf,kerala_pdfs/mal_01_001_035.pdf
1.KASARAGOD,1.MANJESHWAR,036,Vorkady Panchayath Kudumbashree Office,kerala_pdfs/eng_01_001_036.pdf,kerala_pdfs/mal_01_001_036.pdf
1.KASARAGOD,1.MANJESHWAR,037,St. Joseph A U P School Kaliyoor  (Main Building).,kerala_pdfs/eng_01_001_037.pdf,kerala_pdfs/mal_01_001_037.pdf
1.KASARAGOD,1.MANJESHWAR,038,St. Joseph A U P School Kaliyoor  (Southern  Building).,kerala_pdfs/eng_01_001_038.pdf,kerala_pdfs/mal_01_001_038.pdf
1.KASARAGOD,1.MANJESHWAR,039,"Vorkady Kappiri A L P School, Vorkady",kerala_pdfs/eng_01_001_039.pdf,kerala_pdfs/mal_01_001_039.pdf
1.KASARAGOD,1.MANJESHWAR,040,Bakrabayal A U P S Pathur (Middle Building  ),kerala_pdfs/eng_01_001_040.pdf,kerala_pdfs/mal_01_001_040.pdf
