ac_number,ac_name,poll_station_number,poll_station_name,language,relative_path
1,Khundrakpam,1/01,Matakhong,English,manipur_pdfs/english/A0010001.pdf
1,Khundrakpam,1/02,Hangoipat (A),English,manipur_pdfs/english/A0010002.pdf
1,Khundrakpam,1/03,Hangoipat (B),English,manipur_pdfs/english/A0010003.pdf
1,Khundrakpam,1/04,Ikou,English,manipur_pdfs/english/A0010004.pdf
1,Khundrakpam,1/05,Leitanpokpi,English,manipur_pdfs/english/A0010005.pdf
1,Khundrakpam,1/06,Pukhao Terapur,English,manipur_pdfs/english/A0010006.pdf
1,Khundrakpam,1/07,Pukhao Naharup,English,manipur_pdfs/english/A0010007.pdf
1,Khundrakpam,1/08,Pukhao Khabam,English,manipur_pdfs/english/A0010008.pdf
1,Khundrakpam,1/09,Pukhao Laipham,English,manipur_pdfs/english/A0010009.pdf
1,Khundrakpam,1/10,Khewa Company,English,manipur_pdfs/english/A0010010.pdf
1,Khundrakpam,1/11,Sagolmang,English,manipur_pdfs/english/A0010011.pdf
1,Khundrakpam,1/12,Yumnam Patlou,English,manipur_pdfs/english/A0010012.pdf
1,Khundrakpam,1/13,Yumnam Khunou (A),English,manipur_pdfs/english/A0010013.pdf
1,Khundrakpam,1/14,Yumnam Khunou (B),English,manipur_pdfs/english/A0010014.pdf
1,Khundrakpam,1/15,Haraorou,English,manipur_pdfs/english/A0010015.pdf
1,Khundrakpam,1/16,Shambei,English,manipur_pdfs/english/A0010016.pdf
1,Khundrakpam,1/17,Tangkham,English,manipur_pdfs/english/A0010017.pdf
1,Khundrakpam,1/18,Chingkhu,English,manipur_pdfs/english/A0010018.pdf
1,Khundrakpam,1/19,Sarouthel,English,manipur_pdfs/english/A0010019.pdf
1,Khundrakpam,1/20,Khundrakpam Awang Leikai,English,manipur_pdfs/english/A0010020.pdf
1,Khundrakpam,1/21,Khundrakpam,English,manipur_pdfs/english/A0010021.pdf
1,Khundrakpam,1/22,Khundrakpam Makha Leikai,English,manipur_pdfs/english/A0010022.pdf
1,Khundrakpam,1/23,Khundrakpam Maning Leikai,English,manipur_pdfs/english/A0010023.pdf
1,Khundrakpam,1/24,Pangei Yangdong(A),English,manipur_pdfs/english/A0010024.pdf
1,Khundrakpam,1/25,Pangei Yangdong(B),English,manipur_pdfs/english/A0010025.pdf
1,Khundrakpam,1/26,Pangei Meiteikhul,English,manipur_pdfs/english/A0010026.pdf
1,Khundrakpam,1/27,Uyumpok,English,manipur_pdfs/english/A0010027.pdf
1,Khundrakpam,1/28,Wakhong,English,manipur_pdfs/english/A0010028.pdf
1,Khundrakpam,1/29,Uyumpok Terapur,English,manipur_pdfs/english/A0010029.pdf
1,Khundrakpam,1/30,Tiger Camp,English,manipur_pdfs/english/A0010030.pdf
1,Khundrakpam,1/31,Keibi Taret Khul(A),English,manipur_pdfs/english/A0010031.pdf
1,Khundrakpam,1/32,Chanung,English,manipur_pdfs/english/A0010032.pdf
1,Khundrakpam,1/33,Keibi Taret Khul(B),English,manipur_pdfs/english/A0010033.pdf
1,Khundrakpam,1/34,Keibi (A),English,manipur_pdfs/english/A0010034.pdf
1,Khundrakpam,1/35,Keibi Heikak Mapal,English,manipur_pdfs/english/A0010035.pdf
1,Khundrakpam,1/36,Waiton Makha Leikai,English,manipur_pdfs/english/A0010036.pdf
1,Khundrakpam,1/37,Waiton Awang Leikai,English,manipur_pdfs/english/A0010037.pdf
1,Khundrakpam,1/38,Chingarel Tejpur,English,manipur_pdfs/english/A0010038.pdf
1,Khundrakpam,1/39,Pourabi,English,manipur_pdfs/english/A0010039.pdf
1,Khundrakpam,1/40,Wairi,English,manipur_pdfs/english/A0010040.pdf
2,Heingang,2/01,Awang Potsangbam Khunou Maning Leikai,English,manipur_pdfs/english/A0020001.pdf
2,Heingang,2/02,Awang Potsangbam Khunou Mamang Leikai,English,manipur_pdfs/english/A0020002.pdf
2,Heingang,2/03,Keikol,English,manipur_pdfs/english/A0020003.pdf
2,Heingang,2/04,Nilkuthi,English,manipur_pdfs/english/A0020004.pdf
2,Heingang,2/05,Koirengei,English,manipur_pdfs/english/A0020005.pdf
2,Heingang,2/06,Maiba Khul,English,manipur_pdfs/english/A0020006.pdf
2,Heingang,2/07,Mongjam,English,manipur_pdfs/english/A0020007.pdf
2,Heingang,2/08,Achanbigei Awang Leikai,English,manipur_pdfs/english/A0020008.pdf
2,Heingang,2/09,Achanbigei Mayai Leikai,English,manipur_pdfs/english/A0020009.pdf
2,Heingang,2/10,Achanbigei Mayai Leikai,English,manipur_pdfs/english/A0020010.pdf
2,Heingang,2/11,Koirengei Bazar,English,manipur_pdfs/english/A0020011.pdf
2,Heingang,2/12,Luwangshangbam Makha Leikai,English,manipur_pdfs/english/A0020012.pdf
2,Heingang,2/13,Matai,English,manipur_pdfs/english/A0020013.pdf
2,Heingang,2/14,Koirengei Kabui Khul,English,manipur_pdfs/english/A0020014.pdf
2,Heingang,2/15,Luwangsangbam Awang Leikai,English,manipur_pdfs/english/A0020015.pdf
2,Heingang,2/16,Luwangsangbam Mamang Leikai,English,manipur_pdfs/english/A0020016.pdf
2,Heingang,2/17,Kontha Khabam,English,manipur_pdfs/english/A0020017.pdf
2,Heingang,2/18,Kontha Khabam Lamkhai,English,manipur_pdfs/english/A0020018.pdf
2,Heingang,2/19,Kontha Khabam Mamang Leikai,English,manipur_pdfs/english/A0020019.pdf
2,Heingang,2/20,Kontha Khabam Mayai Leikai,English,manipur_pdfs/english/A0020020.pdf
2,Heingang,2/21,Heingang Awang Leikai,English,manipur_pdfs/english/A0020021.pdf
2,Heingang,2/22,Heingang Awang Leikai Saya Lampak,English,manipur_pdfs/english/A0020022.pdf
2,Heingang,2/23,Heingang Mayai Leikai (A),English,manipur_pdfs/english/A0020023.pdf
2,Heingang,2/24,Heingang Mayai Leikai (B),English,manipur_pdfs/english/A0020024.pdf
2,Heingang,2/25,Heingang Makha Panthoibi Leikai,English,manipur_pdfs/english/A0020025.pdf
2,Heingang,2/26,Heingang Makha Leikai,English,manipur_pdfs/english/A0020026.pdf
2,Heingang,2/27,Kontha Ahallup Makha Leikai,English,manipur_pdfs/english/A0020027.pdf
2,Heingang,2/28,Kontha Ahallup Awang Leikai,English,manipur_pdfs/english/A0020028.pdf
2,Heingang,2/29,Kairang Meitei,English,manipur_pdfs/english/A0020029.pdf
2,Heingang,2/30,Kairang Muslim Awang Leikai,English,manipur_pdfs/english/A0020030.pdf
2,Heingang,2/31,Kairang Muslim Mayai Leikai,English,manipur_pdfs/english/A0020031.pdf
2,Heingang,2/32,Kairang Muslim Mamang Leikai,English,manipur_pdfs/english/A0020032.pdf
2,Heingang,2/33,Kairang Khunou Chingya Leikai,English,manipur_pdfs/english/A0020033.pdf
2,Heingang,2/34,Laipham Khunou Awang Leikai,English,manipur_pdfs/english/A0020034.pdf
2,Heingang,2/35,Laipham Khunou Maning Leikai,English,manipur_pdfs/english/A0020035.pdf
2,Heingang,2/36,Laipham Khunou Mamang Leikai,English,manipur_pdfs/english/A0020036.pdf
2,Heingang,2/37,Laipham Khunou Makha Leikai,English,manipur_pdfs/english/A0020037.pdf
2,Heingang,2/38,Laipham Khunou Nagaram,English,manipur_pdfs/english/A0020038.pdf
2,Heingang,2/39,Laipham Â Khunou Tangkhul Avenue,English,manipur_pdfs/english/A0020039.pdf
2,Heingang,2/40,Lairikyengbam Makha Leikai,English,manipur_pdfs/english/A0020040.pdf
2,Heingang,2/41,Lairikyengbam Mayai Leikai (A),English,manipur_pdfs/english/A0020041.pdf
2,Heingang,2/42,Lairikyengbam Mayai Leikai (B),English,manipur_pdfs/english/A0020042.pdf
2,Heingang,2/43,Lairikyengbam Awang Leikai,English,manipur_pdfs/english/A0020043.pdf
2,Heingang,2/44,Lamlongei,English,manipur_pdfs/english/A0020044.pdf
2,Heingang,2/45,Pantilong,English,manipur_pdfs/english/A0020045.pdf
3,Khurai,3/01,Khomidok (A),English,manipur_pdfs/english/A0030001.pdf
3,Khurai,3/02,Khomidok (A-1),English,manipur_pdfs/english/A0030002.pdf
3,Khurai,3/03,Khomidok (B),English,manipur_pdfs/english/A0030003.pdf
3,Khurai,3/04,Khomidok (B-1),English,manipur_pdfs/english/A0030004.pdf
3,Khurai,3/05,Khabeisoi (A),English,manipur_pdfs/english/A0030005.pdf
3,Khurai,3/06,Khabeisoi (B),English,manipur_pdfs/english/A0030006.pdf
3,Khurai,3/07,Sangomsang (A),English,manipur_pdfs/english/A0030007.pdf
3,Khurai,3/08,Sangomsang (B),English,manipur_pdfs/english/A0030008.pdf
3,Khurai,3/09,Phaknung,English,manipur_pdfs/english/A0030009.pdf
3,Khurai,3/10,Kangla Siphai,English,manipur_pdfs/english/A0030010.pdf
3,Khurai,3/11,Sajeb (A),English,manipur_pdfs/english/A0030011.pdf
3,Khurai,3/12,Sajeb (B),English,manipur_pdfs/english/A0030012.pdf
3,Khurai,3/13,Angom Leikai,English,manipur_pdfs/english/A0030013.pdf
3,Khurai,3/14,Moirang Kampu,English,manipur_pdfs/english/A0030014.pdf
3,Khurai,3/15,Khurai Konsam Leikai (A-I),English,manipur_pdfs/english/A0030015.pdf
3,Khurai,3/16,Khurai Konsam Leikai (A-II),English,manipur_pdfs/english/A0030016.pdf
3,Khurai,3/17,Khurai Konsam Leikai (B),English,manipur_pdfs/english/A0030017.pdf
3,Khurai,3/18,Khurai Konsam Leikai (C),English,manipur_pdfs/english/A0030018.pdf
