constituency_name,part_no,poll_station_name,area_covered,file_name_en,file_name_ta
MANNADIPET,01/01,"GOVT. MIDDLE SCHOOL, SENGENIAMMAN KOIL STREET, MANALIPET, PUDUCHERRY-605501

","MURUGAN KOIL STREET, MANALIPET, PUDUCHERRY-605501

KORAIKENI, MANALIPATTU, PUDUCHERRY-605501

MARIAMMAN KOIL STREET, MANALIPATTU, PUDUCHERRY-605501

MANALIPET PET, MANALIPET, PUDUCHERRY-605501

IVELY ROAD, MANALIPET, PUDUCHERRY-605501

PUDHU NAGAR, MANALIPATTU, PUDUCHERRY-605501

EAST STREET, MANALIPET, PUDUCHERRY-605501

SENGENIAMMAN KOIL STREET, MANALIPET, PUDUCHERRY-605501

THANDUMARIAMMAN KOIL ST., MANALIPET PER, PUDUCHERRY - 605501",eng_01_01.pdf,tam_01_01.pdf
MANNADIPET,01/02,"GOVT. PRIMARY SCHOOL  - EAST, DROWPATHIAMMAN KOIL STREET, CHETTIPET, PUDUCHERRY-605501

","DROWPATHIAMMAN KOIL STREET, CHETTIPET, PUDUCHERRY-605501

METTU STREET, CHETTY PET, PUDUCHERRY-605501

PILLIYAR KOIL STREET, CHETTYPET, PUDUCHERRY-605501

EAST STREET, CHETTYPET, PUDUCHERRY-605501

SOUTH STREET, CHETTYPET, PUDUCHERRY-605501",eng_01_02.pdf,tam_01_02.pdf
MANNADIPET,01/03,"GOVT. PRIMARY SCHOOL  - WEST, DROWPATHIAMMAN KOIL STREET, CHETTIPET, PUDUCHERRY-605501

","MARIYAMMAN KOIL STREET, CHETTYPET, PUDUCHERRY-605501

MELANDAI STREET, CHETTYPET, PUDUCHERRY-605501

KOONICHAMPATTU ROAD, CHETTYPET, PUDUCHERRY-605501

PUDHU NAGAR, CHETTYPET, PUDUCHERRY-605501

PUDHU COLONY, CHETTYPET, PUDUCHERRY-605501

OLD COLONY, CHETTYPET, PUDUCHERRY-605501

INDIRA NAGAR, CHETTIPET, PUDUCHERRY-605501

VETTAIKARAN MEDU, CHETTYPET, PUDUCHERRY-605501",eng_01_03.pdf,tam_01_03.pdf
MANNADIPET,01/04,"ARINGAR ANNA GOVT. HR. SEC. SCHOOL , KULAKARAI STREET, KONICHAMPATTU, PUDUCHERRY-605501

","MANALIPATTU PATHAI, KUNICHEMPET, PUDUCHERRY-605501

PILLAIYAR KOIL STREET, KUNITCHAMPET, PUDUCHERRY-605501

VAIKAL KARAI PATHAI EAST , KOONICHEMPET, PUDUCHERRY-605501

AYYANNAR KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

VAIKKAL KARAI STREET (WEST), KOONICHEMPET, PUDUCHERRY-605501

ESWARAN KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

AASARI STREET, KOONICHAMPET, PUDUCHERRY-605501

VEERAREDDY STREET, KOONICHAMPET, PUDUCHERRY-605501

SRINIVASA NAGAR, KUNICHEMPET, PUDUCHERRY - 605501

LAKSHMI NAGAR, KUNICHEMPET, PUDUCHERRY - 605501",eng_01_04.pdf,tam_01_04.pdf
MANNADIPET,01/05,"COMMUNITY HALL, PILLAIYAR KOIL STREET, NEW PET, KUNICHEMPET, PUDUCHERRY - 605501.

","KULAKARAI STREET, KONICHAMPATTU, PUDUCHERRY-605501

ANNAMALAIYAR STREET, KOONICHAMPET, PUDUCHERRY-605501

KODAMANGALATHAR STREET, KOONICHAMPET, PUDUCHERRY-605501

OLD PET ANGANWADI STREET, KOONICHAMPET, PUDUCHERRY-605501

OLD PET MARIAMMAN KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

OLD PET KAVALKARAN KOIL STREET, KOONICHEMPET, PUDUCHERRY-605501

PARAMANAR KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

NEW PET, KUNICHEMPET, PUDUCHERRY-605501

KAMARAJ NAGAR, KONICHAMPATTU, PUDUCHERRY - 605 501

PILLAIYAR KOIL STREET, OLD PET, KUNICHEMPET, PUDUCHERRY - 605501.

PILLAIYAR KOIL STREET, NEW PET, KUNICHEMPET, PUDUCHERRY - 605501.",eng_01_05.pdf,tam_01_05.pdf
MANNADIPET,01/06,"PAVENDAR BHARATHIDASAN GOVT. PRIMARY SCHOOL  - NORTH, IYTHALAMMAN KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

","ANJINAIYAR KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

IYTHALAMMAN KOIL STREET, KOONICHAMPET, PUDUCHERRY-605501

MAIN ROAD, KOONICHAMPET, PUDUCHERRY-605501

PUTHU NAGAR, KUNICHEMPET, PUDUCHERRY-605501

PERUMAL KOIL STREET, KUNICHEMPET, PUDUCHERRY-605501

KOIL THOPPU, KOONICHAMPET, PUDUCHERRY-605501

KULAKKARAI ST., KOONICHAMPET, PUDUCHERRY-605501

SRI MANAKULAR VINAYAGAR NAGAR, KUNICHEMPET, PUDUCHERRY - 605501

NATESAN NAGAR, KOONICHEMPET, PUDUCHERRY - 605501",eng_01_06.pdf,tam_01_06.pdf
MANNADIPET,01/07,"SUDHA HIGHER SECONDARY SCHOOL, T.V. MALAI ROAD, THIRUKKANUR, PUDUCHERRY-605501

","PUTHU NAGAR, KUNICHEMPET, PUDUCHERRY-605501

PERUMAL KOIL STREET, KUNICHEMPET, PUDUCHERRY-605501

KOIL THOPPU, KOONICHAMPET, PUDUCHERRY-605501

MARIYAMMAN KOIL ST., KONDAREDIPALAYAM, PUDUCHERRY-605501

PUTHU NAGAR  I CROSS, KONDAREDDIPALAYAM, PUDUCHERRY-605501

PUTHU NAGAR II CROSS, KONDAREDIPALAYAM, PUDUCHERRY-605501

PUDHU NAGAR III CROSS, KONDAREDIPALAYAM, PUDUCHERRY-605501

EAST STREET, KONDAREDDYPALAYAM, PUDUCHERRY-605501

ELLAIAMMAN KOIL STREET, KONDAREDDYPALAYAM, PUDUCHERRY-605501

T.V. MALAI ROAD, THIRUKKANUR, PUDUCHERRY-605501

KUNICHEMPET SALAI, KONDAREDDYPALAYAM, PUDUCHERRY - 605501.

T.V. MALAI ROAD, KONDAREDDIPALAYAM, THIRUKKANUR - 605501.

PUDU NAGAR, KONDAREDDIPALAYAM, PUDUCHERRY - 605501

NARAYANASAMY NAGAR, THIRUKKANUR, PUDUCHERRY - 605501

V.I.P. NAGAR, KONDAREDDIPALAYAM, THIRUKKANUR, PUDUCHERRY - 605501",eng_01_07.pdf,tam_01_07.pdf
MANNADIPET,01/08,"MANNADIPET MARRIAGE HALL  - WEST, MANNADIPET PATHAI, THIRUKKANUR, PUDUCHERRY - 605501.

","SARASWATHY NAGAR, THIRUKKANUR, PUDUCHERRY-605501

PUDHU NAGAR STREET-1, THIRUKANNUR, PUDUCHERRY-605501

PUDHU NAGAR STREET-2, THIRUKANNUR, PUDUCHERRY-605501

PUDHU NAGAR STREET-3, THIRUKANNUR, PUDUCHERRY-605501

PUDHU NAGAR CROSS STREET, THIRUKANNUR, PUDUCHERRY-605501

GANDHI NAGAR, THIRUKANUR, PUDUCHERRY-605501

FIRST  STREET, GANDHI NAGAR, THIRUKKANUR, PUDUCHERRY-605501

2ND STREET, GANDHI NAGAR, THIRUKKANUR, PUDUCHERRY-605501

3RD STREET, GANDHI NAGAR, THIRUKKANUR, PUDUCHERRY-605501

4TH STREET, GANDHI NAGAR, THIRUKKANUR, PUDUCHERRY-605501

5TH STREET, GANDHI NAGAR, THIRUKKANUR, PUDUCHERRY-605501

FIRST CROSS STREET, SARASWATHI NAGAR, THIRUKANUR

LAKSHMI NAGAR, THIRUKKANUR, PUDUCHERRY - 605501.

ISWARYA NAGAR, THIRUKKANUR, PUDUCHERRY - 605501

OVERSEAS ELECTORS",eng_01_08.pdf,tam_01_08.pdf
MANNADIPET,01/09,"GOVT. HIGH SCHOOL  - EAST, MANNADIPET PATHAI, THIRUKKANUR, PUDUCHERRY - 605501.

","THIRUVANNAMALAI ROAD, THIRUKANUR, PUDUCHERRY-605501

PERUMAL KOIL STREET, THIRUKKANUR, PUDUCHERRY-605501

PILLAIYAR KOIL STREET, THIRUKKANUR, PUDUCHERRY-605501

MANNADIPET PATHAI, THIRUKKANUR, PUDUCHERRY - 605501.",eng_01_09.pdf,tam_01_09.pdf
MANNADIPET,01/10,"GOVT. HIGH SCHOOL  - WEST, MANNADIPET PATHAI, THIRUKKANUR, PUDUCHERRY - 605501.

","KARTHAR STREET, THIRUKKANUR, PUDUCHERRY-605501

PALLIVASAL STREET, THIRUKANNUR, PUDUCHERRY-605501

THIRUKANUR PET, THIRUKANUR , PUDUCHERRY-605501

FIRTHOOS NAGAR, THIRUKKANUR, PUDUCHERRY - 605501",eng_01_10.pdf,tam_01_10.pdf
